Function / Call Stack,Effective Time,Spin Time,Overhead Time,Module,Function (Full),Source File,Start Address
CLASS_APPBC_mp_ISDEFINED,0.0148126,0,0,Simulation2015_x64.exe,CLASS_APPBC_mp_ISDEFINED,Class_AppBC.f90,0x140448860
CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_READTSDATA,0.0148107,0,0,Simulation2015_x64.exe,CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_READTSDATA,Class_AppDiverBypass.f90,0x1405cad80
for__free_vm,0.0147979,0,0,Simulation2015_x64.exe,for__free_vm,[Unknown],0x140015cf0
for_dealloc_all_nopdtlen,0.0147291,0,0,Simulation2015_x64.exe,for_dealloc_all_nopdtlen,[Unknown],0x14002dd20
CLASS_DIVERSION_mp_COMPILEDIVERSIONRANKS,0.0147214,0,0,Simulation2015_x64.exe,CLASS_DIVERSION_mp_COMPILEDIVERSIONRANKS,Class_Diversion.f90,0x1405bbcb0
cvt_integer_to_text,0.0146966,0,0,Simulation2015_x64.exe,cvt_integer_to_text,[Unknown],0x140090d20
H5S_create_simple,0.0146927,0,0,Simulation2015_x64.exe,H5S_create_simple,[Unknown],0x1400ed050
func@0x1401c9450,0.0146868,0,0,Simulation2015_x64.exe,func@0x1401c9450,[Unknown],0x1401c9450
for_deallocate,0.0146546,0,0,Simulation2015_x64.exe,for_deallocate,[Unknown],0x140016150
func@0x1400d6d4f,0.0146431,0,0,Simulation2015_x64.exe,func@0x1400d6d4f,[Unknown],0x1400d6d4f
PACKAGE_APPUNSATZONE_mp_ADVANCESTATE,0.0146111,0,0,Simulation2015_x64.exe,PACKAGE_APPUNSATZONE_mp_ADVANCESTATE,Package_AppUnsatZone.f90,0x140922c50
func@0x180023910,0.0145584,0,0,KERNEL32.DLL,func@0x180023910,[Unknown],0x180023910
for__write_output,0.0145565,0,0,Simulation2015_x64.exe,for__write_output,[Unknown],0x140075af0
func@0x1400ee1c0,0.0144728,0,0,Simulation2015_x64.exe,func@0x1400ee1c0,[Unknown],0x1400ee1c0
H5P_get,0.0142912,0,0,Simulation2015_x64.exe,H5P_get,[Unknown],0x1400d48f0
func@0x1400f954f,0.0142503,0,0,Simulation2015_x64.exe,func@0x1400f954f,[Unknown],0x1400f954f
func@0x1401c96d0,0.0142248,0,0,Simulation2015_x64.exe,func@0x1401c96d0,[Unknown],0x1401c96d0
H5DWRITE_DOUBLE_4_C,0.014076,0,0,Simulation2015_x64.exe,H5DWRITE_DOUBLE_4_C,[Unknown],0x14000f520
for_adjustl,0.0140227,0,0,Simulation2015_x64.exe,for_adjustl,[Unknown],0x14001dfd0
func@0x1400f0f60,0.0139096,0,0,Simulation2015_x64.exe,func@0x1400f0f60,[Unknown],0x1400f0f60
H5S_select_construct_projection,0.0139039,0,0,Simulation2015_x64.exe,H5S_select_construct_projection,[Unknown],0x1400f8e40
func@0x1400f33b0,0.013873,0,0,Simulation2015_x64.exe,func@0x1400f33b0,[Unknown],0x1400f33b0
H5FL_fac_malloc,0.0138721,0,0,Simulation2015_x64.exe,H5FL_fac_malloc,[Unknown],0x14012df00
CLASS_ASCIIFILETYPE_mp_READMATRIXDATA_ASCIIINFILE,0.0137319,0,0,Simulation2015_x64.exe,CLASS_ASCIIFILETYPE_mp_READMATRIXDATA_ASCIIINFILE,Class_AsciiFileType.f90,0x1403fc4f0
H5VM_array_fill,0.0135384,0,0,Simulation2015_x64.exe,H5VM_array_fill,[Unknown],0x1401affe0
GWHYDROGRAPH_mp_PRINTRESULTS,0.0135056,0,0,Simulation2015_x64.exe,GWHYDROGRAPH_mp_PRINTRESULTS,GWHydrograph.f90,0x1408c2f50
H5D__chunk_is_space_alloc,0.0134309,0,0,Simulation2015_x64.exe,H5D__chunk_is_space_alloc,[Unknown],0x1401c93e0
H5E_clear_stack,0.0134291,0,0,Simulation2015_x64.exe,H5E_clear_stack,[Unknown],0x140127af0
CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_GETUPSTRMNODES,0.0132548,0,0,Simulation2015_x64.exe,CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_GETUPSTRMNODES,Class_AppStream_v42.f90,0x14063db00
for_concat,0.0124969,0,0,Simulation2015_x64.exe,for_concat,[Unknown],0x1400157a0
H5C_protect,0.0119784,0,0,Simulation2015_x64.exe,H5C_protect,[Unknown],0x1401f7360
ROOTZONE_V41_mp_ROOTZONE_V41_READTSDATA,0.0119269,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_READTSDATA,RootZone_v41.f90,0x140535da0
CLASS_ASCIIFILETYPE_mp_READARRAYDATA_ASCIIINFILE,0.0112556,0,0,Simulation2015_x64.exe,CLASS_ASCIIFILETYPE_mp_READARRAYDATA_ASCIIINFILE,Class_AsciiFileType.f90,0x1403fb800
CLASS_BASEAPPSTREAM_mp_GETNDIVER,0.0100989,0,0,Simulation2015_x64.exe,CLASS_BASEAPPSTREAM_mp_GETNDIVER,Class_BaseAppStream.f90,0x14058ee40
SUPPLYADJUSTMENT_mp_ADJUSTPUMPING,0.0100602,0,0,Simulation2015_x64.exe,SUPPLYADJUSTMENT_mp_ADJUSTPUMPING,SupplyAdjustment.f90,0x1408f1ad0
PACKAGE_MODEL_mp_PRINTRESULTS,0.0100588,0,0,Simulation2015_x64.exe,PACKAGE_MODEL_mp_PRINTRESULTS,Package_Model.f90,0x1408a1dd0
intel_fast_memset,0.0100127,0,0,Simulation2015_x64.exe,intel_fast_memset,[Unknown],0x1400b8230
H5S_mp_H5SCLOSE_F,0.0098702,0,0,Simulation2015_x64.exe,H5S_mp_H5SCLOSE_F,[Unknown],0x140002070
PACKAGE_APPTILEDRAIN_mp_SIMULATE,0.0098673,0,0,Simulation2015_x64.exe,PACKAGE_APPTILEDRAIN_mp_SIMULATE,Package_AppTileDrain.f90,0x14090c1e0
func@0x1400f53d0,0.0098244,0,0,Simulation2015_x64.exe,func@0x1400f53d0,[Unknown],0x1400f53d0
func@0x14019c03c,0.0098238,0,0,Simulation2015_x64.exe,func@0x14019c03c,[Unknown],0x14019c03c
