"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"PACKAGE_APPPUMPING_mp_APPPUMPING_READTSDATA","1.44861","Simulation2015_x64.exe","PACKAGE_APPPUMPING_mp_APPPUMPING_READTSDATA","Package_AppPumping.f90","0x1408da5a0"
"CLASS_APPBC_mp_ISBOUNDARYFLOWNODE","1.41241","Simulation2015_x64.exe","CLASS_APPBC_mp_ISBOUNDARYFLOWNODE","Class_AppBC.f90","0x1408b6310"
"func@0x1400fdf20","1.36852","Simulation2015_x64.exe","func@0x1400fdf20","[Unknown]","0x1400fdf20"
"SetLastError","1.34729","KERNEL32.DLL","SetLastError","[Unknown]","0x1800064b0"
"ReadFile","1.33634","KERNELBASE.dll","ReadFile","[Unknown]","0x180042f60"
"CLASS_APPGW_mp_GETICOLADJUST","1.28696","Simulation2015_x64.exe","CLASS_APPGW_mp_GETICOLADJUST","Class_AppGW.f90","0x1408efd70"
"H5S_get_select_npoints","1.28647","Simulation2015_x64.exe","H5S_get_select_npoints","[Unknown]","0x1400f7e30"
"ADJUSTSUPPLIES_ip_ADJUST","1.25104","Simulation2015_x64.exe","ADJUSTSUPPLIES_ip_ADJUST","SupplyAdjustment.f90","0x1408f1ad0"
"GetConsoleMode","1.2437","KERNELBASE.dll","GetConsoleMode","[Unknown]","0x18005dac0"
"FlsGetValue","1.2287","KERNEL32.DLL","FlsGetValue","[Unknown]","0x180007350"
"H5Dwrite","1.18346","Simulation2015_x64.exe","H5Dwrite","[Unknown]","0x1400ff550"
