"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"ROOTZONE_V41_mp_ROOTZONE_V41_SETACTUALRIPARIANET_ATSTRMNODES","0.484254","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_SETACTUALRIPARIANET_ATSTRMNODES","RootZone_v41.f90","0x1404c1990"
"PACKAGE_APPSMALLWATERSHED_mp_UPDATERHS","0.473344","Simulation2015_x64.exe","PACKAGE_APPSMALLWATERSHED_mp_UPDATERHS","Package_AppSmallWatershed.f90","0x140914920"
"CLASS_BASEAPPSTREAM_mp_GETSUPPLY","0.469269","Simulation2015_x64.exe","CLASS_BASEAPPSTREAM_mp_GETSUPPLY","Class_BaseAppStream.f90","0x1405c2c50"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETWATERSUPPLY_URB","0.466397","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETWATERSUPPLY_URB","RootZone_v41.f90","0x1404b5a00"
"ADJUSTSUPPLIES_ip_ADJUST","0.466195","Simulation2015_x64.exe","ADJUSTSUPPLIES_ip_ADJUST","SupplyAdjustment.f90","0x1408f1ad0"
"CLASS_STRATIGRAPHY_mp_GETLAYERNUMBERFORELEVATION","0.463237","Simulation2015_x64.exe","CLASS_STRATIGRAPHY_mp_GETLAYERNUMBERFORELEVATION","Class_Stratigraphy.f90","0x1402d74b0"
"intel_fast_memset","0.46057","Simulation2015_x64.exe","intel_fast_memset","[Unknown]","0x1400b8250"
"PACKAGE_APPPUMPING_mp_GETSUBREGIONALPUMPING","0.442497","Simulation2015_x64.exe","PACKAGE_APPPUMPING_mp_GETSUBREGIONALPUMPING","Package_AppPumping.f90","0x1408c30e0"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETGWHEADSATSTRMNODES","0.442059","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETGWHEADSATSTRMNODES","Class_StrmGWConnector_v42.f90","0x140441020"
"PACKAGE_APPUNSATZONE_mp_UPDATESTORAGE","0.432399","Simulation2015_x64.exe","PACKAGE_APPUNSATZONE_mp_UPDATESTORAGE","Package_AppUnsatZone.f90","0x140917bf0"
"SUPPLYADJUSTMENT_mp_ADJUSTSUPPLIES","0.429722","Simulation2015_x64.exe","SUPPLYADJUSTMENT_mp_ADJUSTSUPPLIES","SupplyAdjustment.f90","0x1408f0e70"
"memset","0.408608","Simulation2015_x64.exe","memset","memset.asm","0x1409432d0"
"SUPPLYADJUSTMENT_mp_TAGADJUSTABLESUPPLIES","0.408283","Simulation2015_x64.exe","SUPPLYADJUSTMENT_mp_TAGADJUSTABLESUPPLIES","SupplyAdjustment.f90","0x1408f26a0"
"CLASS_TECPLOTOUTPUT_mp_PRINTRESULTS","0.402656","Simulation2015_x64.exe","CLASS_TECPLOTOUTPUT_mp_PRINTRESULTS","Class_TecplotOutput.f90","0x1408c4b40"
"aligned_free","0.385636","Simulation2015_x64.exe","aligned_free","align.c","0x140943fac"
"FlsGetValue","0.383447","KERNEL32.DLL","FlsGetValue","[Unknown]","0x180007350"
"func@0x14002c870","0.382749","Simulation2015_x64.exe","func@0x14002c870","[Unknown]","0x14002c870"
"H5SL_search","0.382569","Simulation2015_x64.exe","H5SL_search","[Unknown]","0x1401a3050"
"ROOTZONE_V41_mp_REGIONALPUMPING","0.381057","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALPUMPING","RootZone_v41.f90","0x1406e3060"
"ROOTZONE_V41_mp_PROCESSLANDUSEAREAS","0.376374","Simulation2015_x64.exe","ROOTZONE_V41_mp_PROCESSLANDUSEAREAS","RootZone_v41.f90","0x1404d3930"
"PACKAGE_APPPUMPING_mp_APPPUMPING_READTSDATA","0.367411","Simulation2015_x64.exe","PACKAGE_APPPUMPING_mp_APPPUMPING_READTSDATA","Package_AppPumping.f90","0x1408da5a0"
"CLASS_APPGW_mp_RESETACTUALPUMPING","0.35474","Simulation2015_x64.exe","CLASS_APPGW_mp_RESETACTUALPUMPING","Class_AppGW.f90","0x1408e97a0"
"CLASS_APPGW_mp_GETICOLADJUST","0.345711","Simulation2015_x64.exe","CLASS_APPGW_mp_GETICOLADJUST","Class_AppGW.f90","0x1408efd70"
"CLASS_APPGW_mp_COMPUTENODALPUMPACTUAL","0.335327","Simulation2015_x64.exe","CLASS_APPGW_mp_COMPUTENODALPUMPACTUAL","Class_AppGW.f90","0x1408fd4e0"
